Time,Temperature 1,Photoresistor Value,Humidity,Temperature 2,Plant1Moisure,Plant2Moisure
2020-07-01 02:08:13.316008,28.812,243,43,29,218,136
2020-07-01 02:08:17.157161,28.812,243,43,29,218,131
2020-07-01 02:08:20.997127,28.812,243,43,29,218,129
2020-07-01 02:08:24.837149,28.812,243,42,29,218,135
2020-07-01 02:08:28.677128,28.812,246,42,29,218,135
2020-07-01 02:08:32.517143,28.812,244,42,29,218,135
2020-07-01 02:08:36.357162,28.812,243,43,29,218,135
2020-07-01 02:08:40.197141,28.75,244,43,29,218,135
2020-07-01 02:08:44.036015,28.812,244,43,29,218,135
2020-07-01 02:08:47.877157,28.75,243,43,29,218,135
2020-07-01 02:08:51.717153,28.75,244,43,29,218,135
2020-07-01 02:08:55.557146,28.75,244,43,29,218,135
2020-07-01 02:08:59.397134,28.812,243,43,29,218,135
2020-07-01 02:09:03.237308,28.75,243,42,29,218,135
2020-07-01 02:09:07.077145,28.687,243,42,29,218,135
2020-07-01 02:09:10.917145,28.687,243,43,29,218,135
2020-07-01 02:09:14.756011,28.75,243,43,29,218,134
2020-07-01 02:09:18.597128,28.687,243,42,29,218,131
2020-07-01 02:09:22.437143,28.75,244,43,29,218,127
2020-07-01 02:09:26.277140,28.687,243,42,29,218,131
2020-07-01 02:09:30.117228,28.687,243,42,29,218,131
2020-07-01 02:09:33.957222,28.687,243,42,29,228,131
2020-07-01 02:09:37.797230,28.687,243,42,29,208,131
2020-07-01 02:09:41.637247,28.75,244,42,29,180,131
2020-07-01 02:09:45.476079,28.687,243,42,29,153,131
2020-07-01 02:09:49.317226,28.75,243,42,29,128,131
2020-07-01 02:09:53.157227,28.687,243,42,29,131,131
2020-07-01 02:09:56.997144,28.75,246,42,29,128,134
2020-07-01 02:10:00.837133,28.75,245,42,29,128,128
2020-07-01 02:10:04.677154,28.812,243,43,29,128,127
2020-07-01 02:10:08.517148,28.75,244,43,29,128,127
2020-07-01 02:10:12.357132,28.75,243,43,29,128,127
2020-07-01 02:10:16.195992,28.75,243,43,29,128,127
2020-07-01 02:10:20.037184,28.75,243,43,29,128,127
2020-07-01 02:10:23.877160,28.75,243,43,29,128,127
2020-07-01 02:10:27.717125,28.75,243,43,29,128,127
2020-07-01 02:10:31.557147,28.687,243,42,29,128,127
2020-07-01 02:10:35.395097,28.75,243,43,29,128,126
2020-07-01 02:10:39.237339,28.75,243,43,29,128,127
2020-07-01 02:10:43.077278,28.687,243,42,28,128,127
2020-07-01 02:10:46.916452,28.625,243,42,29,128,127
2020-07-01 02:10:50.757635,28.687,243,42,29,128,127
2020-07-01 02:10:54.597709,28.625,243,42,29,128,127
2020-07-01 02:10:58.437638,28.687,243,43,29,128,127
2020-07-01 02:11:02.277650,28.687,243,42,29,128,127
2020-07-01 02:11:06.117636,28.625,243,42,28,128,127
2020-07-01 02:11:09.957645,28.625,243,41,28,128,126
2020-07-01 02:11:13.797633,28.625,243,42,29,128,127
2020-07-01 02:11:17.636405,28.625,243,42,29,128,127
2020-07-01 02:11:21.477628,28.562,243,41,28,128,127
2020-07-01 02:11:25.317638,28.562,243,42,29,128,127
2020-07-01 02:11:29.157641,28.562,243,41,28,128,127
2020-07-01 02:11:32.997638,28.562,243,42,29,128,127
